000195.png,000195.txt
000015.png,000015.txt
000085.png,000085.txt
000132.png,000132.txt
000063.png,000063.txt
000025.png,000025.txt
000120.png,000120.txt
000125.png,000125.txt
000162.png,000162.txt
000164.png,000164.txt
000075.png,000075.txt
000176.png,000176.txt
000101.png,000101.txt
000064.png,000064.txt
000017.png,000017.txt
000159.png,000159.txt
000095.png,000095.txt
000070.png,000070.txt
000078.png,000078.txt
000056.png,000056.txt
000047.png,000047.txt
000180.png,000180.txt
000142.png,000142.txt
000100.png,000100.txt
000106.png,000106.txt
000110.png,000110.txt
000134.png,000134.txt
000001.png,000001.txt
000036.png,000036.txt
000149.png,000149.txt
000026.png,000026.txt
000191.png,000191.txt
000084.png,000084.txt
000027.png,000027.txt
000137.png,000137.txt
000074.png,000074.txt
000034.png,000034.txt
000099.png,000099.txt
000091.png,000091.txt
000172.png,000172.txt
000193.png,000193.txt
000081.png,000081.txt
000010.png,000010.txt
000060.png,000060.txt
000111.png,000111.txt
000049.png,000049.txt
000062.png,000062.txt
000072.png,000072.txt
000182.png,000182.txt
000007.png,000007.txt
000116.png,000116.txt
000069.png,000069.txt
000073.png,000073.txt
000018.png,000018.txt
000152.png,000152.txt
000189.png,000189.txt
000190.png,000190.txt
000138.png,000138.txt
000082.png,000082.txt
000115.png,000115.txt
000174.png,000174.txt
000032.png,000032.txt
000129.png,000129.txt
000171.png,000171.txt
000042.png,000042.txt
000173.png,000173.txt
000048.png,000048.txt
000071.png,000071.txt
000143.png,000143.txt
000123.png,000123.txt
000033.png,000033.txt
000168.png,000168.txt
000112.png,000112.txt
000145.png,000145.txt
000184.png,000184.txt
000024.png,000024.txt
000150.png,000150.txt
000086.png,000086.txt
000005.png,000005.txt
000109.png,000109.txt
000077.png,000077.txt
000167.png,000167.txt
000140.png,000140.txt
000020.png,000020.txt
000090.png,000090.txt
000118.png,000118.txt
000148.png,000148.txt
000002.png,000002.txt
000133.png,000133.txt
000089.png,000089.txt
000119.png,000119.txt
000179.png,000179.txt
000194.png,000194.txt
000031.png,000031.txt
000052.png,000052.txt
000147.png,000147.txt
000053.png,000053.txt
000187.png,000187.txt
000066.png,000066.txt
000157.png,000157.txt
000155.png,000155.txt
000146.png,000146.txt
000136.png,000136.txt
000161.png,000161.txt
000128.png,000128.txt
000039.png,000039.txt
000165.png,000165.txt
000117.png,000117.txt
000067.png,000067.txt
000107.png,000107.txt
000122.png,000122.txt
000021.png,000021.txt
000127.png,000127.txt
000098.png,000098.txt
000186.png,000186.txt
000008.png,000008.txt
000065.png,000065.txt
000058.png,000058.txt
000105.png,000105.txt
000199.png,000199.txt
000139.png,000139.txt
000003.png,000003.txt
000196.png,000196.txt
000108.png,000108.txt
000158.png,000158.txt
000014.png,000014.txt
000083.png,000083.txt
000135.png,000135.txt
000104.png,000104.txt
000156.png,000156.txt
000177.png,000177.txt
000012.png,000012.txt
000055.png,000055.txt
000178.png,000178.txt
000094.png,000094.txt
000037.png,000037.txt
000054.png,000054.txt
000175.png,000175.txt
000011.png,000011.txt
000197.png,000197.txt
000114.png,000114.txt
000169.png,000169.txt
000030.png,000030.txt
000188.png,000188.txt
000044.png,000044.txt
000144.png,000144.txt
000097.png,000097.txt
000040.png,000040.txt
000004.png,000004.txt
000185.png,000185.txt
000103.png,000103.txt
000023.png,000023.txt
000102.png,000102.txt
000153.png,000153.txt
000050.png,000050.txt
000046.png,000046.txt
000079.png,000079.txt
000130.png,000130.txt
000160.png,000160.txt
000093.png,000093.txt
